resampling_technique;hyperparameters;accuracy;precision;recall;f1-score
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};94.32%;90.87%;98.55%;94.55%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};96.47%;93.68%;99.65%;96.58%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};96.47%;94.03%;99.24%;96.56%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};96.37%;94.13%;98.89%;96.45%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};96.99%;94.90%;99.31%;97.06%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};96.82%;94.30%;99.65%;96.90%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};96.26%;93.89%;98.96%;96.36%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};96.54%;94.04%;99.38%;96.63%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};96.57%;93.87%;99.65%;96.67%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};96.12%;94.28%;98.20%;96.20%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};96.88%;95.13%;98.82%;96.94%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};96.50%;93.86%;99.52%;96.61%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};96.78%;94.53%;99.31%;96.86%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};96.05%;93.35%;99.17%;96.17%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};95.78%;92.32%;99.86%;95.94%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};96.47%;93.63%;99.72%;96.58%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};96.16%;94.52%;97.99%;96.23%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};95.57%;93.29%;98.20%;95.68%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.85%;92.38%;99.93%;96.01%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};96.71%;93.94%;99.86%;96.81%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.36%;91.93%;99.45%;95.54%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};96.30%;93.55%;99.45%;96.41%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};96.40%;93.34%;99.93%;96.52%
RandomOverSampler;{'batch_size': 16, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};96.23%;93.15%;99.79%;96.36%
